,sim_asset_0
0,0.010180741
1,0.010203532
2,0.010279105
3,0.010144779
4,0.010174045
5,0.010260703
6,0.010058572
7,0.010113436
8,0.010055019
9,0.010049677
10,0.010339755
11,0.010369698
12,0.010055301
13,0.010571401
14,0.0098127289
15,0.010010883
16,0.010019539
17,0.010269374
18,0.010171124
19,0.010039005
20,0.010068737
21,0.010109466
22,0.010128475
23,0.010319493
24,0.010220489
25,0.010230871
26,0.010157249
27,0.010180409
28,0.010183356
29,0.0103032
30,0.010029795
31,0.010183683
32,0.010033605
33,0.010034391
34,0.010078678
35,0.010158959
36,0.010177008
37,0.010183239
38,0.010149087
39,0.01007353
40,0.0099979988
41,0.0099690601
42,0.0099734764
43,0.010114017
44,0.010257495
45,0.010079789
46,0.010102125
47,0.010096714
48,0.0099569307
49,0.010343006
50,0.010213247
51,0.01007411
52,0.010074847
53,0.010204344
54,0.010228243
55,0.010204652
56,0.010288326
57,0.010271599
58,0.010219379
59,0.010203263
60,0.010262676
61,0.010013309
62,0.01037645
63,0.010501407
64,0.010503988
65,0.010354599
66,0.010376191
67,0.010171613
68,0.010024625
69,0.0099613603
70,0.010044404
71,0.01005086
72,0.010026182
73,0.010017925
74,0.0099743021
75,0.010074347
76,0.010113855
77,0.010270292
78,0.010043989
79,0.010294812
80,0.010452356
81,0.010384526
82,0.010067974
83,0.010223131
84,0.010189723
85,0.010182301
86,0.010220707
87,0.010093421
88,0.010096029
89,0.010069988
90,0.010139188
91,0.010096684
92,0.0099176165
93,0.00979956
94,0.0098641829
95,0.0097777274
96,0.010564032
97,0.010480827
98,0.010377521
99,0.010407244
100,0.010461717
101,0.010221715
102,0.010225554
103,0.010090973
104,0.010142547
105,0.01016803
106,0.01013828
107,0.010117512
108,0.010056228
109,0.010059735
110,0.010143581
111,0.010222455
112,0.01021696
113,0.010218762
114,0.010219187
115,0.01022466
116,0.010294089
117,0.010218681
118,0.0101331
119,0.01013119
120,0.010152943
121,0.010041372
122,0.010190875
123,0.0099909832
124,0.010240073
125,0.010238187
126,0.010279069
127,0.010273864
128,0.010271287
129,0.010398935
130,0.010227624
131,0.010237074
132,0.010038333
133,0.010052121
134,0.010152599
135,0.010336057
136,0.010137276
137,0.010001237
138,0.010065862
139,0.01024914
140,0.010093251
141,0.0099102592
142,0.0099780441
143,0.0105635
144,0.010622323
145,0.010480968
146,0.01030499
147,0.01032726
148,0.0099534866
149,0.010035066
150,0.010014639
151,0.01019467
152,0.010205404
153,0.010139413
154,0.010135868
155,0.010202016
156,0.010137064
157,0.010129857
158,0.01024838
159,0.010188907
160,0.010086696
161,0.010217626
162,0.010242956
163,0.01012331
164,0.010157377
165,0.010031246
166,0.010190748
167,0.010324682
168,0.01034237
169,0.010327129
170,0.010306221
171,0.01032207
172,0.01019147
173,0.010047103
174,0.010032209
175,0.010012008
