,sim_asset_0
0,-0.00087934709
1,-0.00050064688
2,-0.00031939812
3,-0.00063168779
4,-0.0012663842
5,-0.00073064533
6,-0.001364351
7,-0.001216705
8,-0.0011489111
9,-0.00050434021
10,-0.0014142776
11,-0.00045472125
12,-0.0015775953
13,-0.00089365849
14,-0.00056348823
15,-0.00074159857
16,-0.00083357358
17,-0.0014026012
18,-0.00060058717
19,-0.0009113421
20,-0.001159719
21,-0.001336219
22,-0.0010017907
23,-0.00061839835
24,-0.00071797419
25,-0.00045519041
26,-0.00015969941
27,-0.00086625995
28,-0.00071406515
29,-0.0011222586
30,-0.00082917686
31,-0.00080940061
32,-0.00099627504
33,-0.0011640592
34,-0.00094687236
35,-0.00070207839
36,-0.00067994923
37,-0.00033653348
38,-0.00073433097
39,-0.00094834074
40,-0.00074107736
41,-0.0011328166
42,-0.0007814596
43,-0.0011201915
44,-0.0012034518
45,-0.00092396801
46,-0.001419726
47,-0.0009021286
48,-0.00038031824
49,-0.00060206234
50,-0.00039834675
51,-0.00027788429
52,-0.00070875205
53,-0.00070221219
54,-9.4010816e-05
55,-0.0010688628
56,-0.00091335545
57,-0.00081889894
58,-0.0012962999
59,-0.00099059103
60,-0.00098259901
61,-0.0012960131
62,-0.00083556578
63,-0.00079811692
64,-0.00080644198
65,-0.00061800769
66,-0.0013544365
67,-0.00071382766
68,-0.00029491767
69,-0.00072262243
70,-0.00068057127
71,-0.00099349803
72,-0.00089588081
73,-0.00054536656
74,-0.00065183415
75,-0.00078294184
76,-0.00094958831
77,-0.00079196596
78,-0.0010481501
79,-0.00072912617
80,-0.00054952384
81,-0.00055204596
82,-0.00088789679
83,-0.0012353572
84,-0.00094139615
85,-0.0013558605
86,-0.00035246601
87,-0.0011331148
88,-0.00034758831
89,-0.00090852174
90,-0.00042318154
91,-0.00044833511
92,-0.001144213
93,-0.0008581124
94,-0.00044747688
95,-0.00063866317
96,-0.0011327553
97,-0.00075776665
98,-0.00041910808
99,-0.00026433071
100,-0.00051755482
101,-0.00064078679
102,-0.00064184187
103,-0.00054395165
104,-4.0097581e-05
105,9.2962628e-06
106,-0.00045762851
107,-0.00098901679
108,-0.00075070478
109,-0.00077790554
110,-0.00077137145
111,-0.00078758229
112,-0.001009952
113,-0.00051093098
114,-0.00080166178
115,-0.00077883716
116,-0.00089424742
117,-0.00074090404
118,-0.00081570984
119,-0.001612999
120,-0.0010753628
121,-0.00068837942
122,-0.0011378679
123,-0.00079128353
124,-8.6579414e-05
125,-0.00054150045
126,-3.8549187e-05
127,-0.00026255253
128,-0.00037863928
129,-0.00081034279
130,-0.00086170605
131,-0.00091102866
132,-0.00060960326
133,-0.00088683028
134,-0.00081486813
135,-0.00080963135
136,-0.00068491572
137,-0.00068786637
138,-0.00066275153
139,-0.00043827674
140,-0.00088513277
141,-0.00061518325
142,-0.00065918368
143,-0.00081856149
144,-0.0015298773
145,-0.0011750717
146,-0.0014836388
147,-0.0013999
148,-0.00020930868
149,-0.00096267226
150,-0.00060197179
151,-0.0011371826
152,-0.00054292299
153,-0.0009497924
154,-0.0010617333
155,-0.0010565752
156,-0.0011122193
157,-0.0015714052
158,-0.00061801684
159,-0.00076618982
160,-0.00095623124
161,-0.00082189731
162,-0.0011335225
163,-8.4024193e-05
164,-7.4139809e-05
165,6.1819661e-06
166,-0.0010796304
167,-0.00039626011
168,-0.00017828861
169,-0.00032269403
170,-0.0011756492
171,-0.00074783796
172,-0.00042603116
173,-0.00092773971
174,-0.001518259
175,-0.00088583264
176,-0.00081620941
177,-0.0011616866
178,-0.0012613977
179,-0.0005589831
180,-0.00038354417
181,-0.00072291696
182,-0.0013222868
183,-0.00088085605
184,-0.00044817875
185,-0.00075768113
186,-0.00065052172
187,-0.00071860385
188,-0.0011352704
189,-0.00095153434
190,-0.0014934093
191,-0.0014521135
192,-0.00060554542
193,-0.00077622803
194,-0.00063911789
195,-0.00050793065
196,-0.00070861979
197,-0.00084617447
198,-0.00054839496
199,-0.00092414125
200,-0.00054426919
201,-0.00080900193
202,-0.00057696846
203,-0.00046634838
204,-0.0011655543
205,-0.00057370062
206,-0.0007735798
207,-0.0010574659
208,-0.0009119157
209,-0.0013767317
210,-0.0012001348
211,-0.00086231457
212,-0.00061429878
213,-0.0010556032
214,-0.0009237138
215,-0.0012396055
216,-0.00098257017
217,-0.00091105832
218,-0.0010679997
219,-0.0011528862
220,-0.0015284708
221,-0.00066441567
222,-0.0012590705
223,-0.00032605661
224,-0.00042956033
225,-0.00043477373
226,-0.00082986586
227,-0.00093127609
228,-0.00097429052
229,-0.00094970476
230,-0.00035192569
231,-0.00068695099
232,-0.00083365047
233,-0.00059698522
234,-0.00093459868
235,-0.00080639534
236,-0.00065219722
237,-0.0009224213
238,-0.00085270359
239,-0.00087501695
240,-0.0013458898
241,-6.6040931e-05
242,-0.00064755447
243,-0.0001469465
244,-0.0006612934
245,-0.0015148387
246,-0.00059919027
247,-0.0012877933
248,-0.00023934341
249,-0.0002342804
250,-0.00087654735
251,-0.0010424573
252,-0.00017848501
253,-0.0010332948
254,-0.00069856475
255,-0.00092418039
256,-0.00065602561
257,-0.00080870197
258,-0.00066012278
259,-0.0010108826
260,-0.00056679173
261,-0.0011836926
262,-0.0014843329
263,-0.0014436551
264,-0.00026410811
265,-0.00070046986
266,-0.0013005739
267,-0.00072971659
268,-0.00027077815
269,-0.00093491609
270,-0.00037565858
271,-0.00083764169
272,-0.00095298802
273,-0.0013027118
274,-0.0011721754
275,-0.00060132335
276,-0.00046201184
277,-0.00028972781
278,-0.00067594516
279,-0.00092041779
280,-0.00067398562
281,-0.00091301351
282,-0.00079834271
283,-0.001011952
284,-0.00046486008
285,-0.0010694566
286,-0.00063941654
287,-0.00072181702
288,-0.00047790456
289,-0.0011294828
290,-0.0008315491
291,-0.00040127332
292,-0.0005260981
293,-0.00083320426
294,-0.0011128708
295,-0.00076371893
296,-0.00099144853
297,-0.0002059307
298,-0.0010659542
299,-0.00047577378
300,-0.00041824442
301,-0.0007622888
302,-0.0014150315
303,-0.00063898722
304,-0.00046021527
305,-0.0011724547
306,-0.00060616243
307,-0.00080290741
308,-0.00079091148
309,-0.00046049149
310,-0.0002265853
311,-0.00067934968
312,-0.0013569429
313,-0.00058380613
314,-0.0012164377
315,-0.00079512847
316,-0.0012640181
317,-0.00033210646
318,-0.0010989968
319,-0.000937888
320,-0.0011664647
321,-0.00054237249
322,-0.00095719464
323,-0.00094216239
324,-0.00087672229
325,-0.00099979988
326,-0.00080448658
327,-0.00049756678
328,-0.0019438354
329,-0.00061559893
330,-0.00051700709
331,-0.00082940343
332,-0.00083903303
333,-0.00092866211
334,-0.0014782639
335,-0.00079178516
336,-0.0014840707
337,-0.00102879
338,-0.00042365251
339,-0.0006562978
340,-0.00067581068
341,-0.00069559936
342,-0.00096907515
343,-0.00028811702
344,-0.00075422529
345,-0.00051787499
346,-0.0005853968
347,-0.0010947712
348,-0.0012451673
349,-0.0013453945
350,-0.00088579179
351,-0.0011264304
352,-0.0013188733
353,-0.0011796905
354,-0.0012786884
355,-0.00015312544
356,-0.00050394719
357,-0.0008637469
358,-0.001109234
359,-0.00064413111
360,-0.00098100035
361,-0.00094634792
362,-0.00063582119
363,-0.00019952829
364,-0.0012169365
365,-0.0010423141
366,-0.00086466853
367,-0.00056520976
368,-0.00099080481
369,-0.0011655548
370,-0.00055655866
371,-0.0011650032
372,-0.00088383705
373,-6.642206e-06
374,-9.916489e-05
375,-0.00052399908
376,-0.0010111038
377,-0.001164241
378,-0.0012214972
379,-0.00055358975
380,-0.00038330349
381,-0.00068505485
382,-0.00068904788
383,-0.00068486346
384,-0.00080141419
385,-0.0011792666
386,-0.00092159923
387,-0.00053678283
388,-0.00049142186
389,-0.0010227111
390,-0.00093784384
391,-0.00072214834
392,-0.0008571336
393,-0.00087934715
394,-0.00044491268
395,-0.00038562213
396,-0.00091714585
397,-0.00054098876
398,-0.00014696067
399,5.4160203e-05
400,0.00038318239
401,6.2266465e-05
402,-0.00045656458
403,-0.00055679743
404,-0.0013720246
405,-0.0010966665
406,-0.00088266269
407,-0.00075621065
408,-0.00097293387
409,-0.0011561176
410,-0.0011902936
411,-0.00085515976
412,-0.00074724344
413,-0.00042923548
414,-0.00099506945
415,0.00032369346
416,-0.0010174399
417,-0.00046378773
418,-0.00067690823
419,-0.00064045058
420,-0.00088672706
421,-0.00080453143
422,-0.00081455472
423,-0.00071500454
424,-0.00068155163
425,-0.00061866335
426,-0.00098869222
427,-0.0010231707
428,-0.00088594984
429,-0.0011809095
430,-0.00036197614
431,-0.00099355225
432,-0.00062120537
433,-0.0013906076
434,-0.001224039
435,-0.00069311185
436,-0.0007673233
437,-0.00047197861
438,-0.00094713117
439,-0.00069732422
440,-0.00087229629
441,-0.00015329377
442,-0.00020894662
443,-0.00082751987
444,-0.0011835975
445,-0.00089901466
446,-0.00044986987
447,-0.00039327637
448,1.5130097e-05
449,-0.00044796939
450,-0.00090373242
451,-0.00089226019
452,-0.00066652632
453,-0.00041655269
454,-0.00031478072
455,-0.0013202768
456,-0.0012671794
457,-0.00074131245
458,-0.0011153426
459,-0.0017363816
460,-0.00021346892
461,-0.00026585897
462,-0.00094715895
463,-0.00065115806
464,-0.00068507446
465,-0.0010980655
466,-0.0015225681
467,-0.00088751167
468,-0.0012615132
469,-0.00092917211
470,-0.00057698352
471,-0.00083302556
472,-0.00075218143
473,-0.00075394463
474,-0.00088104302
475,-0.00070564579
476,-0.00094621123
477,-0.0010818282
478,-0.00057509929
479,-0.0012406958
480,-0.0015230455
481,-0.00071479362
482,-0.001141433
483,-0.00075513914
484,-0.00091846628
485,-0.0011439601
486,-0.0013673281
487,-0.00043357876
488,-0.00046752314
489,-0.0012255186
490,-0.00065785917
491,-0.00086938146
492,-0.00085297194
493,-0.00083855853
494,-0.00066253784
495,-0.0010127858
496,-0.00095651535
497,-0.00089342072
498,-0.00079620053
499,-0.00038314396
