,sim_asset_0
0,0.058107874
1,0.040915687
2,0.052193467
3,0.081166539
4,0.060626062
5,0.033540065
6,0.060042082
7,0.027107245
8,0.0048703804
9,0.039732273
10,0.024336411
11,0.070222835
12,0.057559946
13,0.039679788
14,0.020701636
15,0.019105561
16,0.018631192
17,0.014368847
18,0.023912351
19,0.043232923
20,0.029906691
21,0.01753406
22,0.064139144
23,0.076409173
24,0.064873914
25,0.0089464813
26,0.066400994
27,0.064120358
28,0.10290624
29,0.019990772
30,0.042979253
31,0.090101742
32,0.0712962
33,0.048151858
34,0.046425072
35,0.062943528
36,0.018318624
37,0.0082517522
38,0.15487865
39,0.16151406
40,0.056124212
41,-0.049877597
42,0.067836641
43,0.058587814
44,-0.0174756
45,0.10438784
46,0.12080581
47,0.061106653
48,0.037744233
49,0.042655699
50,0.056776055
51,0.045684025
52,-0.00052422646
53,0.013416473
54,0.017303438
55,0.047589437
56,0.058554851
57,0.029197334
58,0.053266537
59,0.06260644
60,0.020156272
61,0.030156033
62,0.02569879
63,0.026604431
64,0.0036134846
65,-0.0010635404
66,0.033770811
67,0.021100146
68,0.075274601
69,0.10235242
70,0.047673371
71,0.14197751
72,0.050112237
73,0.068700535
74,0.063947909
75,0.04226911
76,-0.014327599
77,0.044328719
78,0.024656871
79,0.033446381
80,-0.006352217
81,0.046924238
82,0.020191085
83,0.014588591
84,0.073250731
85,0.072774854
86,0.003344283
87,0.086886488
88,-0.0062023538
89,0.052776287
90,0.039964285
91,0.022809428
92,0.033182133
93,0.051137621
94,0.026821773
95,0.014431786
96,0.014387512
97,0.014387512
98,0.032122358
99,0.0085881877
100,0.012683718
101,0.0077884085
102,0.031952752
103,0.013996554
104,0.046037856
105,0.086912175
106,0.034392874
107,0.047535634
108,0.0024946954
109,0.03993861
110,0.11062457
111,0.040879981
112,0.037889689
113,0.050608531
114,0.02953342
115,0.034030852
116,-0.0043694428
117,0.081874212
118,-0.01628721
119,0.06015826
120,0.043935028
121,0.042617025
122,0.074738173
123,0.062642152
124,0.0079611171
125,0.033673217
126,0.058687776
127,0.039149417
128,0.10501801
129,0.095432747
130,0.075320059
131,0.042453113
132,0.06890806
133,0.045064569
134,0.0089007743
135,0.028885396
136,-0.019850629
137,0.034199203
138,0.07264288
139,0.082781852
140,0.01318428
141,0.0095858771
142,0.11846688
143,0.034767327
144,0.072421342
145,0.065267242
146,0.0048917316
147,0.019514134
148,0.036386281
149,0.045784453
150,0.030201743
151,-0.0043572399
152,0.049092107
153,0.034357703
154,0.013444439
155,-0.017352333
156,0.11003074
157,0.023239997
158,0.033885894
159,0.015474423
160,0.0026756219
161,0.032924442
162,0.0066945556
163,0.017064147
164,0.023039376
165,0.0039671235
166,0.050803287
167,-0.0012967429
168,0.018480112
169,0.050326893
170,0.063897253
171,0.086325294
172,0.12807889
173,-0.0019181706
174,0.10321416
175,0.05645975
176,0.020054505
177,0.032179106
178,0.096171239
179,0.071241883
180,0.024705734
181,0.014796282
182,0.11708606
183,0.086785929
184,0.022022629
185,0.047946052
186,0.021549628
187,0.00624963
188,0.048847469
189,0.065759292
190,-0.0056659013
191,0.047102333
192,0.00084760108
193,-0.0062483081
194,0.012927199
195,0.054037727
196,0.018319738
197,0.066718585
198,-0.0060658948
199,0.040266933
200,0.048533106
201,0.015344005
202,0.084414046
203,0.056441452
204,0.037751561
205,0.050479259
206,0.090427425
207,0.040666052
208,0.059314052
209,0.10723002
210,0.080445138
211,0.058822441
212,0.058225391
213,0.046117012
214,0.017080765
215,0.051966652
216,0.061486386
217,0.080406969
218,0.028667589
219,0.085706017
220,0.042916936
221,0.025454175
222,0.06381417
223,0.030839374
224,0.02645964
225,0.031919163
226,0.044723595
227,0.027043302
228,0.066980227
229,0.0016316927
230,0.033036629
231,0.039752455
232,0.026963175
233,0.031189688
234,0.023966426
235,0.03011416
236,0.039014873
237,0.051313661
238,0.092364213
239,-0.03394374
240,0.054438272
241,0.029634777
242,0.069107534
243,0.066736899
244,0.034194537
245,-0.014364104
246,0.044596064
247,0.03435011
248,0.00014442643
249,0.12353685
250,0.048248056
251,0.056618522
252,0.035609084
253,0.039365131
254,0.12119494
255,0.0014391466
256,0.023001891
257,0.022219733
258,0.062603663
259,0.051600317
260,0.015457209
261,0.045211444
262,0.02373173
263,0.044500259
264,0.018422785
265,0.028378739
266,0.061829074
267,0.025046531
268,0.041877904
269,0.055377856
270,0.059630135
271,0.051571871
272,0.049434713
273,0.05777924
274,0.07726366
275,0.073872327
276,0.078989406
277,0.066080966
278,0.0050932924
279,0.022126718
280,0.03196882
281,0.032210979
282,0.012170661
283,0.042988527
284,0.085018738
285,0.022308183
286,0.0097834857
287,0.044335636
288,0.056164612
289,0.023395494
290,0.06667302
291,0.055594097
292,0.046011297
293,0.026023394
294,0.021786801
295,0.0081457116
296,0.037168309
297,0.065456355
298,0.061053174
299,0.073728829
300,0.04936972
301,-0.017846293
302,0.12306637
303,0.09776863
304,0.06754751
305,0.023359898
306,0.011959795
307,0.018987448
308,0.063582417
309,0.031699755
310,-0.059962654
311,0.088032681
312,0.012915186
313,0.096094978
314,0.081913832
315,0.058734171
316,0.023743684
317,0.02403708
318,0.028544397
319,0.024798869
320,0.071739646
321,0.042249718
322,0.04508866
323,0.031284557
324,0.046349952
325,0.026933245
326,0.079273675
327,0.042649557
328,0.040373723
329,0.078334587
330,0.037593113
331,0.037782042
332,0.037421848
333,0.032149493
334,0.080761011
335,0.050143561
336,0.071745245
337,0.068833107
338,0.066276602
339,0.042184372
340,0.12599521
341,0.00060752177
342,-0.015359695
343,-0.017230318
344,0.093621125
345,0.060716174
346,0.053480946
347,0.036612885
348,-0.0032037123
349,0.084395703
350,0.089403893
351,-0.0085847106
352,0.070442653
353,0.028272304
354,0.033253345
355,0.0081465215
356,0.017145801
357,0.056903276
358,0.037679213
359,0.018779201
360,0.036950279
361,0.018909821
362,0.016643766
363,0.0099052458
364,0.047775608
365,0.025852476
366,0.004655669
367,0.031781651
368,0.0057020589
369,0.010319601
370,0.00088990123
371,0.089588853
372,0.04643308
373,0.043397225
374,0.07019536
375,0.038203344
376,0.099699059
377,0.059574453
378,0.037052383
379,0.05757848
380,0.12959551
381,0.10650047
382,0.10674215
383,0.11038626
384,0.11075733
385,0.056261685
386,0.031613805
387,0.0020806389
388,0.035019715
389,0.071764585
390,0.0324841
391,0.03307745
392,0.035872787
393,0.032756285
394,0.042294112
395,0.038253995
396,0.005147366
397,0.0058312942
398,0.052877173
399,-0.008004512
400,0.079695221
401,0.026550776
402,0.035460348
403,0.075367492
404,0.00026341477
405,0.034929759
406,-0.0019685146
407,0.0052405853
408,0.10852571
409,0.0094735089
410,0.066209268
411,0.056640212
412,0.066694359
413,-0.01561937
414,0.065664711
415,0.05051375
416,0.0056099925
417,-0.006668602
418,0.061290511
419,0.032761463
420,0.011391523
421,-0.010593913
422,0.054472276
423,0.044323866
424,0.063349966
425,0.078338866
426,0.11926434
427,-0.0072878721
428,0.093259327
429,0.12806143
430,0.034830726
431,0.038335177
432,0.039282259
433,0.05053966
434,0.040506774
435,0.022290516
436,0.0037367518
437,0.05779416
438,0.017174152
439,0.080551073
440,0.053774612
441,0.00030475869
442,0.011766663
443,0.11706179
444,0.048036455
445,0.072332675
446,0.077487859
447,0.029017737
448,0.076621304
449,0.020737779
450,0.012950381
451,0.096398025
452,-0.0077575843
453,-0.026596301
454,0.053988441
455,0.043576577
456,0.047663335
457,-0.0098579409
458,0.03362215
459,0.032148551
460,0.031495548
461,0.066443338
462,0.064529998
463,0.078368381
464,0.1213324
465,0.10022774
466,0.089706009
467,0.043149407
468,0.083454385
469,0.10229896
470,0.028304163
471,0.0048653825
472,0.019886352
473,0.011129473
474,-0.010796204
475,-0.052947969
476,0.042105101
477,0.025681193
478,0.058834422
479,0.047535729
480,0.062499278
481,0.028839544
482,0.077601428
483,0.033811857
484,-0.028943056
485,0.073096625
486,0.041313418
487,0.047327661
488,0.044020414
489,0.039902724
490,0.054063194
491,0.062843306
492,-0.0046850809
493,0.012134247
494,0.043229319
495,0.032686657
496,0.060524058
497,-0.014389277
498,0.007129148
499,0.040783565
